City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Bengkulu,ID,-3.8,102.27,76.66,87,100,4.79,
339,Alta Floresta,BR,-9.88,-56.09,91.4,52,40,4.7,
340,Kinna,SE,57.51,12.69,50.0,87,90,9.17,
341,Uyemskiy,RU,64.47,40.85,39.2,93,75,8.95,
342,Boffa,GN,10.17,-14.03,80.82,86,6,5.77,
343,Monteagudo,BO,-19.82,-63.98,90.03,22,97,8.5,
344,Ambilobe,MG,-13.2,49.05,75.92,77,100,4.12,
345,Sibi,PK,29.54,67.88,68.34,24,0,4.34,
346,Constantine,DZ,36.37,6.61,68.0,37,75,4.7,
347,Keroka,KE,-0.78,34.95,55.92,93,9,3.22,
348,Namwala,ZM,-15.75,26.44,86.92,23,93,6.31,
349,Hudiksvall,SE,61.73,17.1,46.72,77,100,5.17,
350,Nago,JP,26.59,127.98,75.2,100,1,3.36,
351,San Luis,AR,-33.3,-66.34,85.53,22,70,9.44,
352,Podosinovets,RU,60.28,47.07,34.36,91,75,8.01,
353,Pangai,TO,-19.8,-174.35,75.2,73,40,6.93,
354,San Policarpo,PH,12.18,125.51,75.79,87,99,3.56,
355,Lavrentiya,RU,65.58,-171.0,28.76,96,92,11.7,
356,Koslan,RU,63.46,48.9,31.91,98,100,6.64,
357,Srandakan,ID,-7.94,110.25,77.38,81,31,1.61,
358,Praya,CV,14.92,-23.51,86.0,55,0,10.29,
359,Prince George,CA,53.92,-122.75,30.0,68,1,9.17,
360,Danjiangkou,CN,32.54,111.51,55.87,42,0,2.91,
361,Torrijos,ES,39.98,-4.28,59.0,69,0,7.61,
362,Buala,SB,-8.14,159.59,79.65,76,2,3.11,
363,College,US,64.86,-147.8,27.0,85,90,4.7,
364,Payo,ID,-3.75,103.64,72.75,93,100,1.45,
365,Wanaka,NZ,-44.7,169.15,43.0,80,100,1.01,
366,Oshakati,NA,-17.78,15.68,88.75,12,0,4.16,
367,Sola,VU,-13.88,167.55,82.4,83,90,5.82,
368,Batagay,RU,67.63,134.63,-26.55,84,36,1.3,
369,Sur,OM,22.57,59.53,75.63,77,0,7.18,
370,Nuuk,GL,64.18,-51.72,24.8,79,75,2.24,
371,Kurtalan,TR,37.93,41.7,51.8,87,0,1.12,
372,Srednekolymsk,RU,67.45,153.68,-5.37,91,96,8.86,
373,Rincon,US,32.3,-81.24,80.6,61,75,14.99,
374,Oktyabrskiy,RU,54.48,53.47,35.85,83,99,9.69,
375,Kyzyl-Suu,KG,42.34,78.01,40.08,54,0,9.15,
376,Scarborough,GB,54.28,-0.4,46.99,92,0,5.93,
377,Kieta,PG,-6.22,155.63,78.17,78,3,2.42,
378,Belford Roxo,BR,-22.76,-43.4,77.0,60,75,14.99,
379,Beyneu,KZ,45.32,55.2,42.49,72,7,12.39,
380,Touros,BR,-5.2,-35.46,87.8,62,40,14.99,
381,Krasnoselkup,RU,65.7,82.47,33.94,99,100,7.56,
382,Ulaangom,MN,49.98,92.07,24.93,94,0,1.68,
383,Weymouth,US,42.22,-70.94,75.2,35,100,5.82,
384,Port Blair,IN,11.67,92.75,81.21,79,0,7.38,
385,Suntar,RU,62.14,117.63,-5.89,90,0,4.43,
386,Doha,QA,25.29,51.53,82.99,65,0,3.36,
387,Cleburne,US,32.35,-97.39,73.99,56,20,9.17,
388,San Pedro,PH,14.35,121.02,75.2,88,90,8.05,
389,Bandarbeyla,SO,9.49,50.81,76.75,85,42,15.01,
390,Kyrnasivka,UA,48.6,28.98,46.99,89,0,5.03,
391,Neuquen,AR,-38.95,-68.06,84.2,28,0,18.34,
392,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,23.0,79,15,6.71,
393,Okha,RU,53.57,142.95,25.32,89,71,8.63,
394,Savelugu,GH,9.62,-0.83,86.58,28,55,0.89,
395,Pangody,RU,65.85,74.49,32.25,98,100,5.08,
396,San Quintin,MX,30.48,-115.95,65.44,49,0,16.73,
397,Oran,DZ,35.69,-0.64,68.0,72,0,6.93,
398,Roma,US,43.21,-75.46,69.8,43,1,6.93,
399,Nagato,JP,34.38,131.2,64.4,72,40,9.17,
400,Bungu,TZ,-7.63,39.06,73.44,93,81,3.58,
401,Nisia Floresta,BR,-6.09,-35.21,87.8,62,40,21.92,
402,Dalvik,IS,65.97,-18.53,42.8,60,75,17.22,
403,Vigrestad,NO,58.57,5.7,45.0,96,100,7.38,
404,Labuhan,ID,-6.88,112.21,78.91,78,0,7.92,
405,Bella Union,UY,-30.28,-57.6,82.9,45,63,9.01,
406,Baruun-Urt,MN,46.68,113.28,15.48,84,0,7.56,
407,Changji,CN,44.02,87.32,33.8,59,0,2.24,
408,Lazaro Cardenas,MX,17.96,-102.2,84.87,65,100,7.25,
409,Oswego,US,43.45,-76.15,71.6,43,1,11.41,
410,Octeville,FR,49.63,-1.64,57.0,87,0,8.05,
411,Geraldton,AU,-28.77,114.6,69.8,73,90,9.17,
412,Lagunas,PE,-5.23,-75.68,94.69,42,98,3.87,
413,Hemsedal,NO,60.86,8.55,41.0,79,92,5.84,
414,Ouesso,CG,1.61,16.05,72.93,93,100,1.86,
415,Sladkovo,RU,55.53,70.34,40.62,76,100,11.77,
416,Freeport,US,40.66,-73.58,73.99,35,1,4.7,
