City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
905,Manadhoo,MV,83.55,overcast clouds,5.77,73.38,Vevu Guesthouse
908,Kupang,ID,79.56,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
917,Cabo San Lucas,MX,84.0,broken clouds,22.89,-109.91,Hotel Tesoro Los Cabos
918,Gorontalo,ID,75.96,light rain,0.54,123.06,Maqna Hotel by Prasanthi
920,Saint-Pierre,RE,73.4,broken clouds,-21.34,55.48,Lindsey Hôtel
923,Sao Joao Da Barra,BR,78.8,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
924,Praia,CV,86.0,clear sky,14.92,-23.51,LT Aparthotel
925,Palakkad,IN,77.0,mist,10.78,76.65,Hotel Gazala family restaurant Palakkad
926,Xai-Xai,MZ,87.62,clear sky,-25.05,33.64,Platinum Hotel
938,Sao Filipe,CV,79.52,light rain,14.9,-24.5,Tortuga B&B
939,Louis Trichardt,ZA,82.09,clear sky,-23.04,29.9,139 on Munnik Guest House
940,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
941,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
944,Phetchaburi,TH,77.0,broken clouds,12.97,99.58,บ้านภูแสนดาว
945,Padang,ID,77.23,moderate rain,-0.95,100.35,Mercure Padang
949,Acapulco,MX,86.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
952,Buchanan,LR,82.4,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
953,San Carlos De Bariloche,AR,75.2,scattered clouds,-41.15,-71.31,Hotel Patagonia
958,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
961,Point Pedro,LK,82.26,light rain,9.82,80.23,Gtr homes
968,Thiruvarur,IN,77.59,clear sky,10.77,79.65,Mydeen Govindarajan Residency
970,Broome,US,70.0,clear sky,42.25,-75.83,Chenango Valley State Park
972,Namatanai,PG,79.32,broken clouds,-3.67,152.43,Namatanai Hotel
973,Bida,NG,81.91,few clouds,9.08,6.02,Royal Suite
974,Annigeri,IN,72.54,scattered clouds,15.43,75.43,APMC Annigeri
977,Japura,ID,74.05,light rain,-0.32,102.35,Rumah mbah Jamah
981,Moscow,RU,71.08,clear sky,55.75,37.62,"The Ritz-Carlton, Moscow"
982,Nata,PA,84.2,few clouds,8.33,-80.52,Cabañas Estancia Bayamon
985,Sal Rei,CV,82.4,clear sky,16.18,-22.92,Marine Club Beach Resort
988,Seminole,US,84.2,scattered clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
