City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Hirara,JP,2020-11-04 01:17:29,24.8,125.28,75.2,68,75,18.34
96,Dikson,RU,2020-11-04 01:13:00,73.51,80.55,3.97,91,0,7.16
97,Broome,US,2020-11-04 01:17:30,42.25,-75.83,33.8,74,1,2.3
98,Souillac,MU,2020-11-04 01:17:30,-20.52,57.52,68.0,88,75,4.7
99,Thompson,CA,2020-11-04 01:17:30,55.74,-97.86,23.0,100,90,3.87
100,Bundaberg,AU,2020-11-04 01:17:30,-24.85,152.35,80.6,42,75,5.82
101,Rebrikha,RU,2020-11-04 01:17:30,53.07,82.34,27.9,95,100,9.66
102,Kudahuvadhoo,MV,2020-11-04 01:17:30,2.67,72.89,82.85,70,57,4.81
103,Maumere,ID,2020-11-04 01:17:31,-8.62,122.21,86.09,65,21,3.8
104,Hasaki,JP,2020-11-04 01:17:31,35.73,140.83,59.0,50,20,6.93
105,Provideniya,RU,2020-11-04 01:17:31,64.38,-173.3,17.31,84,0,7.43
106,Sikonge,TZ,2020-11-04 01:17:31,-5.63,32.77,73.4,60,20,11.41
107,Longyearbyen,SJ,2020-11-04 01:17:31,78.22,15.64,32.0,93,75,17.22
108,Cockburn Town,TC,2020-11-04 01:17:31,21.46,-71.14,81.75,78,100,17.94
109,Bud,US,2020-11-04 01:17:31,39.45,-86.18,53.6,46,1,4.7
110,Merauke,ID,2020-11-04 01:17:32,-8.47,140.33,83.35,74,100,6.6
111,Lincoln,US,2020-11-04 01:12:57,40.8,-96.67,68.0,32,1,11.41
112,Fort Nelson,CA,2020-11-04 01:17:32,58.81,-122.7,10.4,85,90,5.82
113,Edd,ER,2020-11-04 01:17:32,13.93,41.69,79.32,45,0,13.42
114,Alpena,US,2020-11-04 01:17:32,45.06,-83.43,51.01,93,1,4.7
115,Ulagan,RU,2020-11-04 01:17:32,50.63,87.96,21.0,91,100,3.33
116,Port Hedland,AU,2020-11-04 01:13:59,-20.32,118.57,89.6,29,0,8.05
117,Mulchen,CL,2020-11-04 01:17:32,-37.72,-72.23,55.92,59,0,1.57
118,Vao,NC,2020-11-04 01:17:33,-22.67,167.48,73.85,90,100,10.8
119,Poya,NC,2020-11-04 01:17:33,-21.35,165.15,81.37,63,100,6.38
120,Caravelas,BR,2020-11-04 01:17:33,-17.71,-39.25,69.35,85,100,4.74
121,Kodiak,US,2020-11-04 01:17:33,57.79,-152.41,30.2,33,1,19.46
122,Meadow Lake,US,2020-11-04 01:15:04,34.8,-106.54,66.2,25,40,5.82
123,Nome,US,2020-11-04 01:13:02,64.5,-165.41,28.4,68,90,17.22
124,Wanning,CN,2020-11-04 01:17:33,18.8,110.4,75.04,79,90,16.06
125,Florianopolis,BR,2020-11-04 01:16:38,-27.61,-48.5,62.6,88,0,2.24
126,Ixtapa,MX,2020-11-04 01:17:34,20.7,-105.2,84.2,62,40,9.17
127,Kapaa,US,2020-11-04 01:17:34,22.08,-159.32,82.4,78,75,12.75
128,Acapulco,MX,2020-11-04 01:17:34,16.86,-99.89,84.2,79,5,8.05
129,Itoman,JP,2020-11-04 01:17:34,26.12,127.67,75.0,56,40,20.8
130,Vredendal,ZA,2020-11-04 01:17:34,-31.67,18.5,61.86,84,51,3.4
131,Mitsamiouli,KM,2020-11-04 01:17:35,-11.38,43.28,76.68,77,9,10.51
132,Nyuksenitsa,RU,2020-11-04 01:17:35,60.41,44.24,41.65,91,100,10.78
133,Parintins,BR,2020-11-04 01:12:50,-2.63,-56.74,84.52,60,74,1.57
134,Cuenca,EC,2020-11-04 01:17:35,-2.88,-78.98,55.4,43,40,10.29
135,Zhanaozen,KZ,2020-11-04 01:17:35,43.3,52.8,60.64,25,100,8.43
136,Bathsheba,BB,2020-11-04 01:17:36,13.22,-59.52,80.6,74,40,17.22
137,San Patricio,US,2020-11-04 01:17:36,28.02,-97.52,69.8,73,20,9.17
138,Haapiti,PF,2020-11-04 01:17:36,-17.57,-149.87,86.0,62,75,18.34
139,Santa Cruz De Las Flores,MX,2020-11-04 01:17:36,20.48,-103.5,75.2,25,5,4.7
140,Khasan,RU,2020-11-04 01:17:36,42.43,130.64,38.46,60,0,20.47
141,Buchanan,LR,2020-11-04 01:17:36,5.88,-10.05,78.22,90,98,5.37
142,Hithadhoo,MV,2020-11-04 01:13:00,-0.6,73.08,83.08,72,100,7.85
143,Clyde River,CA,2020-11-04 01:17:36,70.47,-68.59,8.6,84,20,25.28
144,Aiquile,BO,2020-11-04 01:17:37,-18.2,-65.18,61.07,51,3,4.68
145,Castro,BR,2020-11-04 01:17:37,-24.79,-50.01,55.45,87,64,5.55
146,Guerrero Negro,MX,2020-11-04 01:13:17,27.98,-114.06,70.63,73,0,12.44
147,Khatanga,RU,2020-11-04 01:17:37,71.97,102.5,-1.25,93,98,5.28
148,Pingzhuang,CN,2020-11-04 01:17:37,42.04,119.29,34.54,64,0,5.66
149,Port Elizabeth,ZA,2020-11-04 01:17:37,-33.92,25.57,66.2,88,75,4.7
150,Mayo,US,2020-11-04 01:17:38,38.89,-76.51,48.0,87,1,3.36
151,Tuktoyaktuk,CA,2020-11-04 01:17:38,69.45,-133.04,12.2,85,90,9.17
152,Ballina,AU,2020-11-04 01:17:38,-28.87,153.57,78.01,56,0,11.41
153,Semikarakorsk,RU,2020-11-04 01:17:38,47.52,40.81,51.8,100,20,11.18
154,Flinders,AU,2020-11-04 01:17:38,-34.58,150.86,78.01,59,81,4.0
155,Tuatapere,NZ,2020-11-04 01:17:38,-46.13,167.68,68.63,47,0,2.77
156,Monrovia,LR,2020-11-04 01:17:38,6.3,-10.8,79.52,86,16,7.4
157,Mtwara,TZ,2020-11-04 01:17:38,-10.27,40.18,73.4,88,20,6.55
158,Bintulu,MY,2020-11-04 01:17:39,3.17,113.03,80.6,83,20,2.24
159,Ulladulla,AU,2020-11-04 01:17:39,-35.35,150.47,78.01,47,0,9.17
160,Upernavik,GL,2020-11-04 01:17:39,72.79,-56.15,16.9,93,100,6.26
161,Barabinsk,RU,2020-11-04 01:17:39,55.36,78.36,27.41,93,100,10.27
162,Touros,BR,2020-11-04 01:13:18,-5.2,-35.46,80.6,78,40,13.87
163,Nabire,ID,2020-11-04 01:17:39,-3.37,135.48,79.68,81,100,6.38
